Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Sorgo negro,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Trébol blanco,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Trébol rojo,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Otras perennes puras,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Alfalfa consociada,Hectáreas,2294.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Otras perennes consociadas,Hectáreas,3979.5,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,arrecifes,Sin discriminar,Hectáreas,0.0,06077
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Total,Hectáreas,0.1,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Achicoria,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Agropiro,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Alfalfa pura,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Cebadilla criolla,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Falaris,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Festuca,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Lotus,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Panicum,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Pasto llorón,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Pasto ovillo,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Pasto Pangola,Hectáreas,0.0,06035
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,avellaneda,Raigrás perenne,Hectáreas,0.0,06035
