Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 2.500,1 - 3.500",2.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 3.500,1 - 5.000",0.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 5.000,1 - 7.500",2.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 7.500,1 - 10.000",0.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"EAP | 10.000,1 - 20.000",1.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,EAP | Más de 20.000,0.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,Hectárea | Total,117296.7,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,Hectárea | EAP sin límites definidos,-1.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,Hectárea | EAP con límites definidos,117296.7,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,Hectárea | Hasta 5,4.0,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 5,1 - 10",62.5,06021
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,alberti,Mixta,"Hectárea | 10,1 - 25",243.5,06021
